Date,prec,tmax,tmin,tmean,qt
3/12/1990,0,24.7798,16.215,19.4936,1.83
3/13/1990,0,25.6965,15.7877,19.7485,1.79
3/14/1990,0,25.3473,15.5285,19.5514,1.75
3/15/1990,0,24.8583,15.681,19.4763,1.84
3/16/1990,10.448,25.6455,15.6925,19.4424,1.87
3/17/1990,6.5482,23.5925,15.7854,19.1213,1.9
3/18/1990,0,23.1687,15.9004,18.767,1.87
3/19/1990,0,23.8703,15.0337,18.3982,1.83
3/20/1990,0,23.8063,14.7419,18.4624,1.83
3/21/1990,2.0533,23.9538,14.2812,17.8689,1.79
3/22/1990,0,23.828,14.0074,18.0641,1.75
3/23/1990,1.7966,24.4693,13.4373,17.9704,1.75
3/24/1990,0,23.2281,14.7615,18.1504,1.75
3/25/1990,0,23.7151,15.1717,18.4979,1.79
3/26/1990,0,24.8356,14.7404,18.6979,2.01
3/27/1990,0,23.8108,15.1956,18.6859,1.95
3/28/1990,0,24.0803,13.3303,18.1249,1.87
3/29/1990,0,24.6371,13.7327,18.0808,1.87
3/30/1990,0,24.3634,13.6065,18.4818,1.83
3/31/1990,10.1064,23.5213,12.4713,18.8372,1.79
4/1/1990,0,25.3092,14.5529,19.3044,1.79
4/2/1990,0,24.5426,14.5488,19.1339,1.75
4/3/1990,0,25.1535,15.0734,19.1818,1.83
4/4/1990,0,26.808,12.9742,18.9274,1.71
4/5/1990,0,25.284,14.3809,19.2513,1.71
4/6/1990,0,25.852,13.1925,18.8667,1.67
4/7/1990,0,24.4241,14.8004,18.6846,1.65
4/8/1990,24.0728,23.304,17.0749,19.4029,1.75
4/9/1990,0,25.6446,17.2444,20.2127,1.53
4/10/1990,0,25.8032,14.6507,19.1432,1.6
4/11/1990,0,25.7383,13.7774,19.0272,1.6
4/12/1990,0,27.0142,14.6569,19.3425,1.65
4/13/1990,0,26.1504,14.8015,19.1265,1.72
4/14/1990,4.2376,25.3433,14.9753,19.1073,1.64
4/15/1990,0,22.3729,15.9478,18.4893,1.61
4/16/1990,6.8148,23.2245,14.7517,18.3701,1.6
4/17/1990,3.4074,24.5174,15.4752,19.1553,1.56
4/18/1990,0,25.1496,14.7843,19.3832,1.53
4/19/1990,0,24.751,15.0738,19.0798,1.49
4/20/1990,0,24.1249,14.4734,18.687,1.49
4/21/1990,4.0513,24.806,15.2278,19.0266,1.49
4/22/1990,4.0513,23.4707,15.1263,18.5862,1.49
4/23/1990,8.1027,23.8988,15.1009,18.7935,1.62
4/24/1990,4.0513,23.7907,15.4869,18.7616,1.86
4/25/1990,8.1027,23.7209,15.9141,18.8543,1.81
4/26/1990,8.2323,22.9318,16.3015,18.6169,2.01
4/27/1990,0,23.9282,15.2286,18.754,1.84
4/28/1990,8.2323,24.7673,16.133,19.5576,1.65
4/29/1990,4.1162,24.9913,15.9007,19.3848,1.71
4/30/1990,8.2323,23.8679,15.5849,18.8361,1.71
5/1/1990,9.2365,24.025,15.6945,18.8764,2.09
5/2/1990,7.827,22.6483,15.7802,18.1596,2.3
5/3/1990,7.2872,22.3279,14.5864,17.6166,3.32
5/4/1990,6.7175,22.5208,13.5441,17.1087,3.11
5/5/1990,16.3138,23.6015,14.0889,17.8433,2.56
5/6/1990,0,22.9376,13.8739,18.112,2.27
5/7/1990,0,23.7111,15.1318,19.0163,2.09
5/8/1990,4.4924,22.8736,15.5507,18.928,2.09
5/9/1990,20.5366,21.4399,16.039,18.3929,2.04
5/10/1990,10.2683,22.3359,16.3086,18.6346,2.13
5/11/1990,10.5477,24.0973,15.2729,19.0646,2.18
5/12/1990,0,23.9202,15.842,19.1633,2.04
5/13/1990,0,23.4929,15.5754,18.3729,1.95
5/14/1990,21.0955,20.9341,15.2953,17.2276,2.13
5/15/1990,21.0955,21.3259,14.5411,17.3317,2.27
5/16/1990,9.3441,22.1198,15.7969,18.1287,2.18
5/17/1990,6.4056,22.1639,15.9246,18.5583,2.39
5/18/1990,15.6637,24.1829,15.3278,18.2052,3.2
5/19/1990,10.4752,23.5388,15.77,19.141,2.46
5/20/1990,5.0163,25.54,16.3585,19.9661,2.13
5/21/1990,22.6186,22.8843,15.9083,18.8412,2.32
5/22/1990,22.404,22.9505,16.1986,18.8804,4.73
5/23/1990,11.4947,21.4266,16.1293,18.4458,3.2
5/24/1990,8.1771,22.173,16.099,18.4574,2.98
5/25/1990,18.7545,22.7126,16.2874,18.5625,2.66
5/26/1990,24.6751,22.9755,15.917,18.5641,2.66
5/27/1990,12.3376,23.6153,15.5527,18.4805,4.24
5/28/1990,49.3503,23.5922,15.2347,18.5602,6.08
5/29/1990,0,23.6401,16.3708,19.029,3.32
5/30/1990,12.3376,21.7463,16.603,18.473,3.26
5/31/1990,24.6751,20.6745,15.0796,17.2355,3.28
6/1/1990,7.3944,22.3384,16.1175,17.9008,2.92
6/2/1990,14.7888,20.9224,14.7718,17.294,2.66
6/3/1990,7.3944,20.0231,15.1154,17.1689,2.66
6/4/1990,7.3944,23.0469,15.7769,18.1744,3.4
6/5/1990,7.3944,23.277,15.014,18.3433,3.07
6/6/1990,9.845,21.8007,15.8881,18.4531,2.77
6/7/1990,14.7676,22.7493,16.4671,18.9703,2.56
6/8/1990,9.845,21.1441,16.4779,18.4002,2.61
6/9/1990,16.8772,21.7028,16.2695,18.0828,3.07
6/10/1990,14.7676,22.2253,15.8946,18.097,3.81
6/11/1990,6.085,21.9496,15.7689,18.2135,5.56
6/12/1990,30.4249,22.3091,16.0017,18.49,6.35
6/13/1990,12.17,23.9727,15.9665,18.6958,6.11
6/14/1990,12.17,23.4296,16.0519,18.6538,4.99
6/15/1990,6.085,21.7955,14.8812,17.9677,4.4
6/16/1990,20.7762,19.8928,15.7346,17.3288,4.81
6/17/1990,10.3881,21.2646,14.2594,17.2131,4.92
6/18/1990,0,22.3105,15.2133,18.0792,3.48
6/19/1990,5.194,23.3137,15.0147,18.6612,2.97
6/20/1990,0,22.3469,15.8596,18.8739,2.57
6/21/1990,25.5232,21.8672,15.564,18.5207,2.42
6/22/1990,15.3139,23.4031,16.2915,18.9904,1.95
6/23/1990,15.3139,21.7147,15.8282,18.5584,2.28
6/24/1990,10.2093,21.8041,15.7582,18.2145,1.87
6/25/1990,5.1046,22.1366,14.5726,17.855,1.87
6/26/1990,4.2212,21.8812,15.3896,17.5836,2.02
6/27/1990,7.6133,21.7661,15.5035,17.8273,3.06
6/28/1990,10.2432,21.0646,14.6906,17.1693,3.81
6/29/1990,16.2072,20.8211,14.8931,17.6995,3.03
6/30/1990,6.3875,21.3363,15.3198,17.9435,2.97
7/1/1990,8.3445,22.7002,15.7383,18.0887,2.97
7/2/1990,7.3249,22.7401,15.5164,18.2046,3.18
7/3/1990,34.0972,19.9313,15.9546,17.3939,4.56
7/4/1990,4.8618,19.4492,15.7574,17.4174,9.24
7/5/1990,5.1409,20.6966,15.0503,17.5659,7.03
7/6/1990,3.8206,21.732,14.9633,17.8433,5.16
7/7/1990,4.1156,22.1287,15.0752,17.9932,4.13
7/8/1990,5.2908,21.375,14.6233,17.977,3.73
7/9/1990,6.4906,21.8959,15.4835,17.7374,4.08
7/10/1990,3.7763,19.8451,15.0454,16.9171,4.28
7/11/1990,0,21.6008,13.1166,16.7419,4.4
7/12/1990,8.2913,23.124,14.171,18.0382,6.54
7/13/1990,4.7379,22.8461,14.6322,18.1066,5.38
7/14/1990,4.1456,22.6677,14.8574,18.2913,4.79
7/15/1990,24.8738,20.2117,14.6958,17.0432,4.28
7/16/1990,11.7007,20.6891,14.6821,17.0098,4.7
7/17/1990,0,20.9947,13.7963,16.8738,7.3
7/18/1990,5.335,20.6764,14.3387,17.0162,6.69
7/19/1990,6.3698,22.376,13.9898,17.0716,9.06
7/20/1990,3.2211,23.2631,14.3237,18.0984,8.87
7/21/1990,0,21.6341,14.7832,18.0114,6.66
7/22/1990,12.4247,21.3872,15.7104,18.3906,5.84
7/23/1990,0,20.429,15.8198,17.8878,5.38
7/24/1990,13.6852,21.8974,15.5442,17.7927,4.95
7/25/1990,20.0203,23.5711,14.9868,18.2215,4.75
7/26/1990,0,20.9461,15.1103,17.5955,4.52
7/27/1990,0,22.6931,14.858,18.0144,4.22
7/28/1990,9.0743,21.1841,14.1668,17.432,4.62
7/29/1990,12.0412,22.1786,15.2273,17.8773,4.46
7/30/1990,7.1231,22.6815,15.5343,18.3378,4.33
7/31/1990,0,22.6168,15.4403,18.6525,4.26
8/1/1990,0,23.0925,15.1453,18.5666,4.19
8/2/1990,3.8079,22.9907,15.5756,18.6747,3.99
8/3/1990,21.7597,20.9435,15.2866,17.6932,3.99
8/4/1990,15.2318,21.4518,15.0137,17.6156,4.35
8/5/1990,7.6159,22.5273,14.7098,18.1432,5.23
8/6/1990,4.54,22.5585,14.6472,18.2572,4.62
8/7/1990,18.1598,23.4777,14.937,18.2927,4.52
8/8/1990,18.1598,23.0093,15.2581,18.2316,4.26
8/9/1990,0,22.1208,15.8216,18.6983,3.99
8/10/1990,0,22.1721,15.8466,18.4127,3.79
8/11/1990,0,20.1861,14.7913,17.3103,3.86
8/12/1990,0,22.7207,14.6315,17.8295,3.73
8/13/1990,20.1271,21.7845,15.0546,17.8511,4.03
8/14/1990,33.5451,21.8079,15.0681,17.4953,4.83
8/15/1990,0,20.9344,14.2391,16.8401,5.22
8/16/1990,4.8427,22.3347,15.2555,18.026,5.11
8/17/1990,4.8427,22.265,14.7089,17.9264,4.49
8/18/1990,9.6854,23.5951,15.3974,18.5415,4.26
8/19/1990,14.5282,20.738,16.3472,18.0534,3.93
8/20/1990,4.8427,23.4478,15.7336,18.8464,3.75
8/21/1990,29.1467,22.6359,15.9024,18.759,4.5
8/22/1990,29.1467,22.1908,15.7917,17.6626,7.46
8/23/1990,17.0023,21.7625,15.6453,17.6352,6.21
8/24/1990,0,22.9625,15.2431,18.1336,4.85
8/25/1990,8.5011,22.6479,14.9027,18.4968,4.53
8/26/1990,14.4741,23.3697,15.0624,18.6468,4.13
8/27/1990,7.2371,23.0733,15.1057,18.1091,3.93
8/28/1990,14.4741,22.5885,14.9395,17.7272,4.47
8/29/1990,8.2709,22.2325,14.0746,17.4753,3.73
8/30/1990,14.4741,24.4434,15.251,18.6701,4.17
8/31/1990,0,20.7878,15.0738,17.4256,5.25
9/1/1990,9.3594,21.6377,14.3961,17.4345,4.73
9/2/1990,0,21.2737,14.8046,17.6237,4.69
9/3/1990,10.4853,20.2478,14.9199,17.3744,4.7
9/4/1990,15.8336,21.5008,14.323,17.2477,4.56
9/5/1990,16.0271,21.8454,14.8711,17.7147,4.75
9/6/1990,16.047,23.7315,14.9384,18.3798,4.77
9/7/1990,6.6278,21.8868,15.3554,18.1988,4.26
9/8/1990,0,22.43,14.7537,17.7648,4.26
9/9/1990,13.006,22.539,13.9266,17.5233,3.96
9/10/1990,16.8891,22.4721,14.5469,17.9761,3.95
9/11/1990,7.6972,21.9541,15.5149,18.1695,4.5
9/12/1990,7.5685,21.2111,14.5456,17.711,5.14
9/13/1990,13.4894,22.9452,14.4923,17.9595,7.1
9/14/1990,17.6855,20.8979,14.9148,17.3708,7.31
